class,species,stateProvi,locality,decimalLat,decimalLon,year,institutio
Aves,Sturnella neglecta,North Dakota,Antler,48.970556,-101.283889,1927,SBMNH
Aves,Sturnella neglecta,North Dakota,Antler; 1.5 mi NE; S Turners Pasture,48.985833,-101.258611,1931,SBMNH
Aves,Phalaropus tricolor,North Dakota,Pleasant Lake,48.361389,-99.802778,1921,SBMNH
Aves,Tringa semipalmata,North Dakota,Antler; 5 mi NW,49.03,-101.347222,1930,SBMNH
Aves,Fulica americana,North Dakota,Church's Ferry; Several mi S,48.173056,-99.189444,1892,SBMNH
Aves,Aechmophorus occidentalis,North Dakota,Devil's Lake,48.112778,-98.865,1884,SBMNH
Aves,Podiceps grisegena,North Dakota,Turtle Mts.; Carpenter Lake,48.959444,-99.9725,1928,SBMNH
Aves,Podiceps grisegena,North Dakota,Turtle Mts.; Willow Lake,48.921389,-100.144722,1931,SBMNH
Aves,Podiceps nigricollis,North Dakota,Sweet Water Lakes,48.216667,-98.816666,1900,SBMNH
Aves,Podiceps nigricollis,North Dakota,NE of Deering,48.383335,-101.050003,1929,SBMNH
Aves,Podiceps auritus,North Dakota,Goose Lake; 15 mi northeast of Deering,48.416668,-100.73333,1926,SBMNH
Aves,Corvus brachyrhynchos,North Dakota,Antler,48.970556,-101.283889,1922,SBMNH
Aves,Corvus brachyrhynchos,North Dakota,Antler,48.970556,-101.283889,1927,SBMNH
Aves,Corvus brachyrhynchos,North Dakota,Denbigh; N,48.318333,-100.583333,1929,SBMNH
Aves,Corvus brachyrhynchos,North Dakota,Riga; N,48.296667,-100.7075,1929,SBMNH
Aves,Larus delawarensis,North Dakota,Larimore,47.908889,-97.623889,1898,SBMNH
Aves,Pica hudsonia,North Dakota,Denbigh; SW,48.304722,-100.591111,1929,SBMNH
